"logFC","logCPM","PValue","FDR"
"Tcas003695",-1.55303338468846,7.00542834337288,0.000134382106177893,0.00714226598366756
"Tcas009493",-3.82738403756955,8.77121791843624,0.000138140549694142,0.00730317657430615
"Tcas011533",-1.41368166554621,2.82658864145164,0.000142627455029553,0.00750070279292258
"Tcas002837",-1.04133126060147,7.1727487484366,0.000143499315706425,0.00750704273580418
"Tcas004938",-3.72577978446039,7.57706947268157,0.000145839680802226,0.00758974005508249
"Tcas007550",-3.77252205706765,8.11495900698214,0.000149415106561129,0.007699952644687
"Tcas006712",0.776391711834621,6.64412770766686,0.000150078504540281,0.007699952644687
"Tcas009766",-1.41878863623208,5.12356970503114,0.000150428391638577,0.007699952644687
"Tcas010029",-4.05517942914493,13.2614038835125,0.000151039903758872,0.007699952644687
"Tcas005122",1.73815464863676,4.87332793877398,0.000161710174846761,0.0082020714064408
"Tcas011116",-1.39509797315012,4.68827454895883,0.000163762119543034,0.00826419746704036
"Tcas002560",0.689629200922964,6.37093661285687,0.000172940537817399,0.00868352690387663
"Tcas011178",2.02607936306391,6.14207673777977,0.00017433756592733,0.0087099047937294
"Tcas008686",4.24569270365496,6.56472491155185,0.000175639625294943,0.00873129918381628
"Tcas008450",-2.82214551980912,5.09316816258833,0.000179382144585408,0.00887319994404653
"Tcas000123",1.6182826373836,3.56526526035175,0.00018147048157252,0.0089322810437075
"Tcas012078",1.21991173236661,6.44079046970028,0.000184134727517912,0.00901899116352438
"Tcas009838",-4.06423904312963,6.89904767402934,0.000185810750259018,0.00903247344540099
"Tcas000139",1.2360225769077,5.79931467849182,0.000187017924581272,0.00903247344540099
"Tcas005263",-1.64638503836134,6.36490920724585,0.000187795024403058,0.00903247344540099
"Tcas010978",-1.44865531336659,3.84824942218039,0.000188025868359028,0.00903247344540099
"Tcas003893",0.799115095047336,6.20092041449967,0.000194719907631546,0.00926959363345837
"Tcas000654",-0.816706458051916,6.89676417957957,0.000194817320158753,0.00926959363345837
"Tcas004402",2.46943238793604,9.25504928294276,0.000199782787427861,0.0094608038482426
"Tcas008522",-2.25636596915243,1.48995874695635,0.000204074587545319,0.00961845886204164
"Tcas007556",0.997906964794227,6.3341165800447,0.000207232122045969,0.00972142424170576
"Tcas007944",-2.30444295800543,11.7380294970096,0.000213403592947331,0.00996415280714829
"Tcas006185",-3.17303857499132,5.53283608303026,0.000216311496537791,0.0100529510390958
"Tcas000855",1.03729479067307,5.46298918740364,0.000219641918877396,0.0101604724695507
"Tcas006013",-1.96466043368292,7.81421603319763,0.000221519194106326,0.0102000911866839
"Tcas011932",0.982315501597842,5.68739144932123,0.000224276355709658,0.0102796759002335
"Tcas009785",-1.39474286312309,6.77240669211097,0.000242842431347531,0.0110798245389248
"Tcas008587",-1.23887062838895,2.57592102331583,0.000246982073355173,0.0112174767134768
"Tcas003488",-1.9427128490426,7.091108716714,0.000248525411555216,0.0112364973405417
"Tcas009689",-0.75632710345038,7.03527412596983,0.00025361988943804,0.0113655784871257
"Tcas010714",0.913314266794046,8.17958567828599,0.000253655324522521,0.0113655784871257
"Tcas005219",1.3317050698886,5.80706617658515,0.000258026602601951,0.0115098295232084
"Tcas006155",0.776020309590244,7.20735062706251,0.000262346674519815,0.01165052431912
"Tcas011173",1.43124373374747,7.49565501400513,0.000271379880869722,0.0119983529630543
"Tcas005856",1.32843142547229,3.24635447412406,0.00027285842593118,0.0120105788189619
"Tcas009406",-1.05604189522929,4.4195412402891,0.000277709485504603,0.0121350280097102
"Tcas010906",-1.04704241436734,3.98794113690102,0.000279526017860887,0.0121350280097102
"Tcas009870",-6.3370693026929,0.913618453951826,0.000280366619964835,0.0121350280097102
"Tcas004433",1.10137889638448,3.82347312679916,0.000280543581889818,0.0121350280097102
"Tcas006758",-3.97401684093472,1.25358364752829,0.000286326072713167,0.0123317677523705
"Tcas005596",1.13553227427492,8.86319921382246,0.000293996043037262,0.0126077616396065
"Tcas012319",-0.787492166048163,4.30297381217436,0.000296150901368425,0.0126458966088603
"Tcas005083",1.62554662595041,2.37564725230783,0.000298945220050311,0.0127108963350754
"Tcas010669",-1.19320560904817,6.04810426778888,0.000305146023093929,0.0129195722998074
"Tcas005541",0.967616178116423,4.1306374411857,0.000308341574885021,0.0129997848786967
"Tcas004469",0.883208416298567,6.42660545426343,0.000312127701179285,0.0131041176058127
"Tcas009707",0.911985972568084,6.76048891869389,0.000317464397257574,0.0132724027506179
"Tcas010072",1.43094432955081,8.05609506301605,0.000320213375749629,0.0133315502103762
"Tcas002654",-4.71821210093499,6.08307918382136,0.000325335977806048,0.0134886186316931
"Tcas002616",0.73252398853799,5.09152830127661,0.000328092955173916,0.0135199410527257
"Tcas000089",-2.10048378933411,5.30292106182596,0.000328797605665768,0.0135199410527257
"Tcas011728",1.28792568881654,6.47062219765076,0.000331300682483619,0.0135670345056407
"Tcas011445",1.16878349493992,8.94808068244614,0.000340282379189626,0.0138779654402561
"Tcas008723",1.28094278531965,9.73895810801539,0.00034647517704928,0.0140613513343275
"Tcas012513",1.69715069641769,2.83130661033471,0.000347593452720065,0.0140613513343275
"Tcas003426",0.8915584401572,2.73478360460249,0.000352773522230695,0.0142133590085851
"Tcas009287",1.5691388889728,2.05629692142175,0.000357324267198804,0.0143388918789175
"Tcas009451",-3.831268105904,13.7429832211666,0.00036129933017459,0.014440411628418
"Tcas005749",0.682999277876323,4.25777849570576,0.000370337013937154,0.0147426591364942
"Tcas004277",-1.37187016755442,3.90245435873921,0.00037796055735784,0.0149864360679347
"Tcas002505",1.03333631444758,4.20085780798342,0.000383932088617866,0.0151569253910909
"Tcas006439",0.690141622144021,4.54060100036359,0.000385294140245905,0.0151569253910909
"Tcas010968",0.928632947267337,5.69452545043467,0.000394710717974119,0.0154664686039114
"Tcas010626",1.09292335864188,7.59391455084876,0.000415987214417545,0.0161758729966242
"Tcas002719",0.715257790997476,4.59132610496904,0.000417350538253258,0.0161758729966242
"Tcas011502",-0.790960626263381,4.14197161073566,0.000418051865903229,0.0161758729966242
"Tcas006814",1.75469680494852,4.23870748511917,0.000419290543047005,0.0161758729966242
